dataset,alpha,method,round,mean_percent,sample_sd_percent,n_seeds
bloodmnist,0.5,cwt,45,54.72066722644459,27.110243957378312,3
bloodmnist,0.5,cwt,60,59.90969415698575,8.607521809784178,3
bloodmnist,0.5,cwt,75,49.73195184966882,29.424375234499827,3
bloodmnist,0.5,cwt,90,69.54863992524005,6.962939816860356,3
bloodmnist,0.5,cwt,105,71.1207417562218,3.354827379097543,3
bloodmnist,0.5,cwt,120,76.60516871474464,1.770088179793142,3
bloodmnist,0.5,cwt,135,73.85167382524907,8.79252947456338,3
bloodmnist,0.5,cwt,150,66.94212757135568,11.900477590969917,3
bloodmnist,0.5,cwt,165,73.92952110014957,5.0752654055699695,3
bloodmnist,0.5,cwt,180,73.77111038052705,7.985845688994612,3
bloodmnist,0.5,cwt,195,79.57803341448587,3.9861828627027,3
bloodmnist,0.5,cwt,210,79.67871054456647,4.582922298273444,3
bloodmnist,0.5,cwt,225,78.3278717492092,4.721571129684956,3
bloodmnist,0.5,cwt,240,78.46342940956399,5.858149298799227,3
bloodmnist,0.5,cwt,255,79.40135717056614,3.8393448056866473,3
bloodmnist,0.5,cwt,270,79.22042638414408,1.1473311781447124,3
bloodmnist,0.5,cwt,285,80.77085126994004,4.207160304890023,3
bloodmnist,0.5,cwt,300,79.37937838833554,1.087797329143721,3
bloodmnist,0.5,fedseq,1,6.990670535129215,4.783493078095776,3
bloodmnist,0.5,fedseq,15,57.47275397426153,6.209684189987465,3
bloodmnist,0.5,fedseq,30,63.090827976306564,7.418828597205544,3
bloodmnist,0.5,fedseq,45,65.4323583723014,11.982725303801928,3
bloodmnist,0.5,fedseq,60,56.83113845280939,14.381334020734448,3
bloodmnist,0.5,fedseq,75,73.4569698890381,6.525723440093207,3
bloodmnist,0.5,fedseq,90,70.18310282048205,9.549019062372238,3
bloodmnist,0.5,fedseq,105,74.42222672861664,0.6329899670880196,3
bloodmnist,0.5,fedseq,120,69.74719994787974,4.360586595579263,3
bloodmnist,0.5,fedseq,135,52.36481125692387,33.29290888230343,3
bloodmnist,0.5,fedseq,150,73.6393041501664,9.61314222053493,3
bloodmnist,0.5,fedseq,165,78.22756387122917,3.2907486749767973,3
bloodmnist,0.5,fedseq,180,71.50121913406053,7.692386972586836,3
bloodmnist,0.5,fedseq,195,80.5344312439685,3.138699482108031,3
bloodmnist,0.5,fedseq,210,79.60220939516404,4.026705992159134,3
bloodmnist,0.5,fedseq,225,78.86374536846478,3.32482547877254,3
bloodmnist,0.5,fedseq,240,75.76017553744035,8.280502429665956,3
bloodmnist,0.5,fedseq,255,80.49416405527914,3.6018132282731647,3
bloodmnist,0.5,fedseq,270,80.5410051941423,3.162241640614177,3
bloodmnist,0.5,fedseq,285,80.26380749742316,2.600145632741769,3
bloodmnist,0.5,fedseq,300,79.82508372227339,3.3049162622271746,3
bloodmnist,0.5,fedtriad,1,11.662432368924515,7.61945564459822,3
bloodmnist,0.5,fedtriad,15,60.39530653993586,9.502535728028965,3
bloodmnist,0.5,fedtriad,30,68.71489149386477,7.3344505274563225,3
bloodmnist,0.5,fedtriad,45,71.27645136977489,7.85535449059965,3
bloodmnist,0.5,fedtriad,60,72.99888437415153,4.992804810056377,3
bloodmnist,0.5,fedtriad,75,74.50927780624986,5.485621098984727,3
bloodmnist,0.5,fedtriad,90,73.74796306878517,5.120704684634159,3
bloodmnist,0.5,fedtriad,105,76.46535053024404,6.089550900421153,3
bloodmnist,0.5,fedtriad,120,77.69571446619727,2.4696099192455048,3
bloodmnist,0.5,fedtriad,135,75.97264276756202,7.763106754513823,3
bloodmnist,0.5,fedtriad,150,76.2620605002061,2.4675822751645633,3
bloodmnist,0.5,fedtriad,165,76.50080991674326,7.429771673355679,3
bloodmnist,0.5,fedtriad,180,79.35902398390763,4.855081713767815,3
bloodmnist,0.5,fedtriad,195,81.56193621426817,4.213378910665268,3
bloodmnist,0.5,fedtriad,210,80.44446086922629,3.504997967149083,3
bloodmnist,0.5,fedtriad,225,80.43757653421032,1.5947857625085837,3
bloodmnist,0.5,fedtriad,240,79.8296473007108,3.8147215850106293,3
bloodmnist,0.5,fedtriad,255,82.06958633395853,4.0890255671270666,3
bloodmnist,0.5,fedtriad,270,82.36830262992638,4.35381805338727,3
bloodmnist,0.5,fedtriad,285,81.98980315150664,4.461124455773309,3
bloodmnist,0.5,fedtriad,300,81.18223697888513,2.29265831587634,3
organamnist,0.5,fedavg,1,12.689321419767513,8.202817108370477,3
organamnist,0.5,fedavg,15,79.12604373859476,1.990658117092275,3
organamnist,0.5,fedavg,30,83.49404083578028,4.130701408100929,3
organamnist,0.5,fedavg,45,86.37799374963046,2.3592370670527174,3
organamnist,0.5,fedavg,60,81.45624740407858,1.6232875735309187,3
organamnist,0.5,fedavg,75,88.24626168175429,3.7179951599602075,3
organamnist,0.5,fedavg,90,64.77571923918293,41.889596148905206,3
organamnist,0.5,fedavg,105,87.70118823411697,2.673140614972828,3
organamnist,0.5,fedavg,120,88.09023710848011,4.012484878886016,3
organamnist,0.5,fedavg,135,85.95100339004793,1.5500690730672229,3
organamnist,0.5,fedavg,150,86.01656487515413,4.102746731218376,3
organamnist,0.5,fedavg,165,84.8240055457552,4.357238267336555,3
organamnist,0.5,fedavg,180,88.8010361446181,3.272311415235746,3
organamnist,0.5,fedavg,195,89.30869825958177,2.9092070471849794,3
organamnist,0.5,fedavg,210,88.94439649165392,3.3623208278850836,3
organamnist,0.5,fedavg,225,88.84169855367321,3.7464488713654736,3
